                        id                         | mediaobject_id |       mid        |                                      programurl                                      
---------------------------------------------------+----------------+------------------+--------------------------------------------------------------------------------------
 42205376                                          |       16873157 | POMS_VPRO_056084 | http://download.omroep.nl/vpro/42205376.mp3
 35713165                                          |       19707936 | POMS_VPRO_105757 | http://download.omroep.nl/vpro/35713165.mp3
 35895113                                          |       16872554 | POMS_VPRO_056040 | http://download.omroep.nl/vpro/35895113.mp3
 41128332                                          |       16875156 | POMS_VPRO_056332 | http://download.omroep.nl/vpro/41128332.mp3
 39847574                                          |       16872096 | POMS_VPRO_055991 | http://download.omroep.nl/vpro/39847574.mp3
 41137297                                          |        7033899 | POMS_VPRO_214554 | http://download.omroep.nl/vpro/41137297.mp3
 41137297                                          |       16875009 | POMS_VPRO_056311 | http://download.omroep.nl/vpro/41137297.mp3
 41887093                                          |       17761447 | POMS_VPRO_076072 | http://download.omroep.nl/vpro/41887093.mp3
 37081296                                          |        7115302 | POMS_VPRO_212182 | http://download.omroep.nl/vpro/37081296.mp3
 37081296                                          |       17607335 | POMS_VPRO_070832 | http://download.omroep.nl/vpro/37081296.mp3
 42172073                                          |       16874294 | POMS_VPRO_056210 | http://download.omroep.nl/vpro/42172073.mp3
 39588825                                          |       16875963 | POMS_VPRO_056429 | http://download.omroep.nl/vpro/39588825.mp3
 35551410                                          |       16872697 | POMS_VPRO_056051 | http://download.omroep.nl/vpro/35551410.mp3
 42199163                                          |       16873788 | POMS_VPRO_056138 | http://download.omroep.nl/vpro/42199163.mp3
 36351615                                          |       19794659 | POMS_VPRO_106511 | http://download.omroep.nl/vpro/36351615.mp3
 35552752                                          |       16946720 | POMS_VPRO_057328 | http://download.omroep.nl/vpro/35552752.mp3
 42199263                                          |       16873767 | POMS_VPRO_056135 | http://download.omroep.nl/vpro/42199263.mp3
 42199263                                          |       16873767 | POMS_VPRO_056135 | http://download.omroep.nl/vpro/42199263.mp3
 42180237                                          |        7085011 | POMS_VPRO_213637 | http://download.omroep.nl/vpro/42180237.mp3
 42180237                                          |       16874343 | POMS_VPRO_056217 | http://download.omroep.nl/vpro/42180237.mp3
 35799019                                          |       16872622 | POMS_VPRO_056044 | http://download.omroep.nl/vpro/35799019.mp3
 42193941                                          |       16874021 | POMS_VPRO_056171 | http://download.omroep.nl/vpro/42193941.mp3
 42195612                                          |       16873970 | POMS_VPRO_056164 | http://download.omroep.nl/vpro/42195612.mp3
 42198786                                          |       16873809 | POMS_VPRO_056141 | http://download.omroep.nl/vpro/42198786.mp3
 36898505                                          |       17606661 | POMS_VPRO_070719 | http://download.omroep.nl/vpro/36898505.mp3
 39859156                                          |        7112943 | POMS_VPRO_107841 | http://download.omroep.nl/vpro/39859156.mp3
 39859156                                          |       16875610 | POMS_VPRO_056389 | http://download.omroep.nl/vpro/39859156.mp3
 37695301                                          |       16876305 | POMS_VPRO_056469 | http://download.omroep.nl/vpro/37695301.mp3
 41887296                                          |       17761478 | POMS_VPRO_076074 | http://download.omroep.nl/vpro/41887296.mp3
 35712672                                          |        7090978 | POMS_VPRO_139693 | http://download.omroep.nl/vpro/35712672.mp3
 42180245                                          |        7085018 | POMS_VPRO_213636 | http://download.omroep.nl/vpro/42180245.mp3
 42180245                                          |       16874336 | POMS_VPRO_056216 | http://download.omroep.nl/vpro/42180245.mp3
 41887620                                          |       16873457 | POMS_VPRO_056119 | http://download.omroep.nl/vpro/41887620.mp3
 37695414                                          |       16876252 | POMS_VPRO_056463 | http://download.omroep.nl/vpro/37695414.mp3
 41136104                                          |       16875051 | POMS_VPRO_056317 | http://download.omroep.nl/vpro/41136104.mp3
 42173163                                          |        7085547 | POMS_VPRO_199916 | http://download.omroep.nl/vpro/42173163.mp3
 42173163                                          |       16874556 | POMS_VPRO_056247 | http://download.omroep.nl/vpro/42173163.mp3
 36626751                                          |       17609678 | POMS_VPRO_070898 | http://download.omroep.nl/vpro/36626751.mp3
 42205063                                          |       16873325 | POMS_VPRO_056102 | http://download.omroep.nl/vpro/42205063.mp3
